inTemp,inHum,outTemp,outHum
17.20,67.50,26.50,73.00
17.20,67.60,26.50,73.20
17.20,67.60,26.50,73.60
17.20,67.70,26.50,73.80
17.10,67.80,26.50,73.60
17.10,67.60,26.50,73.60
17.10,67.40,26.50,73.60
17.10,67.40,26.40,73.20
17.10,67.40,26.50,73.40
17.10,67.40,26.50,73.20
17.10,67.50,26.40,73.20
17.10,67.60,26.40,73.60
17.10,67.80,26.40,73.90
17.10,67.90,26.40,73.80
17.00,68.00,26.40,73.50
17.10,68.10,26.40,73.40
17.00,68.10,26.40,73.40
17.10,68.00,26.40,73.40
17.10,68.00,26.40,73.20
17.00,68.10,26.40,73.20
17.00,68.10,26.40,73.20
17.00,68.20,26.40,73.30
17.00,68.40,26.40,73.30
17.00,68.50,26.40,73.70
17.00,68.70,26.30,73.70
17.00,68.70,26.40,73.70
17.00,68.70,26.30,74.00
17.00,69.00,26.30,73.70
17.00,69.00,26.30,73.70
16.90,69.10,26.30,73.90
16.90,69.30,26.30,74.00
17.00,69.30,26.30,74.10
16.90,69.30,26.30,74.00
16.90,69.10,26.30,74.30
16.90,69.00,26.30,74.70
16.90,68.90,26.30,74.60
16.90,69.00,26.30,74.40
16.90,69.10,26.30,74.30
16.90,69.00,26.30,74.20
16.90,69.00,26.30,74.20
16.80,69.00,26.30,74.30
16.90,69.00,26.30,74.30
16.90,68.80,26.30,74.30
16.80,68.90,26.30,74.40
16.90,69.00,26.20,74.30
16.80,69.00,26.20,74.30
16.80,69.00,26.20,74.50
16.90,68.80,26.20,75.00
16.80,69.00,26.20,75.50
16.80,69.30,26.20,75.70
16.80,69.40,26.20,75.40
16.80,69.60,26.20,75.10
16.80,69.60,26.20,75.00
16.70,69.30,26.20,75.00
16.70,69.20,26.20,75.10
16.70,69.10,26.20,75.20
16.70,68.80,26.20,75.40
16.80,69.00,26.10,75.20
16.70,69.00,26.10,75.20
16.70,69.00,26.10,75.10
16.70,69.00,26.10,75.10
16.70,69.00,26.10,75.20
16.70,68.80,26.10,75.10
16.70,68.60,26.10,75.20
16.70,68.50,26.10,75.30
16.70,68.50,26.00,75.50
16.70,68.60,26.10,75.40
16.70,68.90,26.00,75.40
16.70,69.00,26.10,75.30
16.70,69.40,26.10,75.30
16.60,69.60,26.00,75.50
16.70,70.00,26.10,75.90
16.70,70.20,26.00,75.90
16.70,70.20,26.10,75.80
16.60,70.00,26.00,75.70
16.70,70.10,26.00,75.80
16.60,70.20,26.00,75.90
16.60,69.90,26.00,75.80
16.60,69.80,26.00,75.90
16.60,69.90,26.00,75.90
16.60,70.00,26.00,75.90
16.60,70.10,26.00,75.90
16.60,70.30,26.00,75.90
16.60,70.30,26.00,75.90
16.60,70.30,26.00,75.90
16.60,70.30,25.90,75.90
16.50,70.30,25.90,75.90
16.50,70.10,25.90,75.80
16.50,70.20,25.90,75.80
16.50,70.30,25.90,75.90
16.50,70.30,25.90,75.80
16.50,70.20,25.90,75.90
16.50,70.30,25.90,75.90
16.50,70.50,25.80,75.80
16.40,70.60,25.80,75.80
16.60,70.90,25.90,75.90
16.50,71.00,25.80,75.80
16.50,71.00,25.90,75.90
16.50,71.00,25.80,75.80
