Temperature_A,Humidity_A,Temperature_B,Humidity_B,Temperature_C,Humidity_C,Weight_A1,Weight_A2,Weight_A3,Weight_B1,Weight_B2,Weight_B3,Weight_C1,Weight_C2,Weight_C3,Priority_A,Priority_B,Priority_C
21.4,59.9,26.1,75.9,35.8,73.9,57.0,0.0,0.0,17.0,17.2,21.4,35.6,39.2,16.0,Baixa,Baixa,Média
21.3,59.8,26.2,76.2,35.8,74.0,57.0,0.0,0.0,17.0,17.2,21.4,35.6,39.2,16.0,Baixa,Baixa,Média
21.4,59.7,26.1,75.8,35.8,73.8,57.0,0.0,0.0,17.0,17.2,21.4,35.6,39.2,16.0,Baixa,Baixa,Média
21.4,59.5,26.2,75.8,35.8,73.6,57.0,0.0,0.0,17.0,17.2,21.4,35.6,39.2,16.0,Baixa,Baixa,Média
21.3,59.4,26.1,75.7,35.7,73.6,57.0,0.0,0.0,17.0,17.2,21.4,35.6,39.2,16.0,Baixa,Baixa,Média
21.2,59.2,26.2,75.9,35.7,73.6,57.0,0.0,0.0,17.0,17.2,21.4,35.6,39.2,16.0,Baixa,Baixa,Média
21.2,59.2,26.2,75.9,35.7,73.6,57.0,0.0,0.0,17.0,17.2,21.4,35.6,39.2,16.0,Baixa,Baixa,Média
21.3,59.2,26.2,75.8,35.8,73.5,57.0,0.0,0.0,17.0,17.2,21.4,35.6,39.2,16.0,Baixa,Baixa,Média
21.2,59.0,26.2,75.8,35.7,73.4,57.0,0.0,0.0,17.0,17.2,21.4,35.6,39.2,16.0,Baixa,Baixa,Média
21.2,59.1,26.2,75.9,35.7,73.5,57.0,0.0,0.0,17.0,17.2,21.4,35.6,39.2,16.0,Baixa,Baixa,Média
21.1,58.9,26.2,76.2,35.6,73.6,57.0,0.0,0.0,17.0,17.2,21.4,35.6,39.2,16.0,Baixa,Baixa,Média
21.1,58.8,26.2,76.2,35.6,73.5,57.0,0.0,0.0,17.0,17.2,21.4,35.6,39.2,16.0,Baixa,Baixa,Média
21.0,58.6,26.2,75.8,35.6,73.2,57.0,0.0,0.0,17.0,17.2,21.4,35.6,39.2,16.0,Baixa,Baixa,Média
21.0,58.6,26.2,75.6,35.6,73.1,57.0,0.0,0.0,17.0,17.2,21.4,35.6,39.2,16.0,Baixa,Baixa,Média
21.0,58.7,26.2,75.4,35.6,73.1,57.0,0.0,0.0,17.0,17.2,21.4,35.6,39.2,16.0,Baixa,Baixa,Média
21.0,58.6,26.2,75.3,35.6,73.0,57.0,0.0,0.0,17.0,17.2,21.4,35.6,39.2,16.0,Baixa,Baixa,Média
21.0,58.6,26.3,75.3,35.6,73.0,57.0,0.0,0.0,17.0,17.2,21.4,35.6,39.2,16.0,Baixa,Baixa,Média
20.9,58.4,26.3,75.3,35.6,72.8,57.0,0.0,0.0,17.0,17.2,21.4,35.6,39.2,16.0,Baixa,Baixa,Média
20.9,58.4,26.3,75.3,35.6,72.8,57.0,0.0,0.0,17.0,17.2,21.4,35.6,39.2,16.0,Baixa,Baixa,Média
20.8,58.6,26.3,75.2,35.6,72.9,57.0,0.0,0.0,17.0,17.2,21.4,35.6,39.2,16.0,Baixa,Baixa,Média
20.8,58.7,26.3,75.1,35.6,72.9,57.0,0.0,0.0,17.0,17.2,21.4,35.6,39.2,16.0,Baixa,Baixa,Média
20.8,58.7,26.2,75.0,35.5,72.8,57.0,0.0,0.0,17.0,17.2,21.4,35.6,39.2,16.0,Baixa,Baixa,Média
20.8,58.9,26.3,75.1,35.6,73.0,57.0,0.0,0.0,17.0,17.2,21.4,35.6,39.2,16.0,Baixa,Baixa,Média
20.7,58.8,26.3,75.0,35.5,72.9,57.0,0.0,0.0,17.0,17.2,21.4,35.6,39.2,16.0,Baixa,Baixa,Média
20.7,58.8,26.3,75.0,35.5,72.9,57.0,0.0,0.0,17.0,17.2,21.4,35.6,39.2,16.0,Baixa,Baixa,Média
20.7,58.7,26.3,75.0,35.5,72.8,57.0,0.0,0.0,17.0,17.2,21.4,35.6,39.2,16.0,Baixa,Baixa,Média
20.6,58.8,26.3,75.0,35.4,72.9,57.0,0.0,0.0,17.0,17.2,21.4,35.6,39.2,16.0,Baixa,Baixa,Média
20.7,58.9,26.3,75.0,35.5,73.0,57.0,0.0,0.0,17.0,17.2,21.4,35.6,39.2,16.0,Baixa,Baixa,Média
20.6,58.8,26.3,75.1,35.4,72.9,57.0,0.0,0.0,17.0,17.2,21.4,35.6,39.2,16.0,Baixa,Baixa,Média
20.5,58.7,26.3,75.1,35.4,72.9,57.0,0.0,0.0,17.0,17.2,21.4,35.6,39.2,16.0,Baixa,Baixa,Média
